	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory.Tregs.	T.cells.gamma.delta	NK.cells.resting	Macrophages.M1	GEP	IMPRES	SZABO	TIDE	TMB	TCR_Richness	TCR_Evenness	TCR_Shannon	BCR_Richness	BCR_Evenness	BCR_Shannon
TCGA.50.6595.01A	0	0	0	0.000523766143755321	0	0.00090595648580443	0	6.51315281414234e-05	0	0.000233168270745997	0.00136947838914298	26.7576119511326	8	1.3656849171313	-1.53288107005198	109	1	1	1	1	1	1
TCGA.53.7813.01A	0	0	0.00319197846603011	0.000378608473780399	0	0.000940180719521654	0.000676886692369539	0	0	0	0.000281318349757877	18.5979235622104	9	0.0059488152487725	-1.52976568649833	197	1	1	1	1	1	1
TCGA.53.A4EZ.01A	0.000259961025848932	0	0	0.000131745226125875	0	0	0.000324522030928313	1.32203256716763e-05	0	0	0.000205863095941368	14.9662972333582	9	-0.38424421419502	-1.42647456187529	711	1	1	1	1	1	1
TCGA.55.1596.01A	0	0	0.000442474726597106	0.000177987732574168	0	0	0.000387322418868916	0.000235674427819626	0	0.000118938209749999	0.000492871045485234	19.308290341235	9	-0.0403274018120798	-1.41922795256549	258	1	1	1	1	1	1
TCGA.55.5899.01A	0	0	0.00110063558940262	0.000480654708928555	0	0.000289043067945505	0.000261084749236705	0	0	0.000562004622998901	0.000548906768036753	22.5548327877514	9	0.390391468303759	-1.41148744239902	582	1	1	1	1	1	1
TCGA.55.6712.01A	0	0.000405679991577111	0.000948064041374499	0.00194044463549641	7.54306269223124e-05	0.000904268334081366	0	0	0	0	0	27.6485162063149	9	1.17540751799843	-1.33330891044954	201	1	1	1	1	1	1
TCGA.55.6970.01A	0.000117811621095652	0	0.00469105535949819	0.000771455092268787	0	7.59559315923323e-05	0.000384540176146909	0.000145501444612883	0	0	0.000678563507161131	23.0554994052626	7	0.418924691134252	-1.31447118481866	221	1	1	1	1	1	1
TCGA.55.6979.01A	0.000203682522129571	0.000151222312294761	0.00187501316071885	0.0021859610126188	0	0.0004787012658101	0.000457889121490853	0.00113538372632596	0	0.000238505677316727	0.0038443460072083	29.3606641274806	9	1.44628215518442	-1.20429605793513	158	1	1	1	1	1	1
TCGA.55.7227.01A	0	1.9085347226548e-05	0	0.000529605436399718	0	0	0.000741061998427181	0.000206741396159972	7.49790938971992e-05	0	0.000355111126090668	22.1823152784533	9	0.36577483439079	-1.18254554700656	212	1	1	1	1	1	1
TCGA.55.7281.01A	0.000255046144260176	0	9.6765940643743e-06	0.000221406371208748	0	0.000165917776752077	0.000409023617602997	0.000346491430319292	0	0	0.0010607621180027	20.451900057775	8	-0.159588918315658	-1.08915013039728	588	1	1	1	1	1	1
TCGA.55.7283.01A	0	0	0	0.000739849693422345	0	2.825889002832e-05	0.000179873401216658	7.47933571135382e-05	0	0.000147685513842258	0.000382595879576047	20.3841659356782	11	-0.160328098762838	-1.0784124761566	302	1	1	1	1	1	1
TCGA.55.7574.01A	0.00153107733825861	0.0017855723179701	0	0.00230785461929741	0	0.000405989227711895	0	0	0	0	0.000762153856928956	24.2664762189233	6	0.282114575090073	-1.07669039789491	309	1	1	1	1	1	1
TCGA.55.7910.01A	0	0	0.00197329819588287	0	0	0.000184165520730071	0.000168541045923965	0	0	5.11519616948223e-05	0.000125565052395077	15.3354830308254	6	-1.00782685491156	-1.06506936289644	386	1	1	1	1	1	1
TCGA.55.7914.01A	4.67299351166534e-05	0	0.0061387867668864	0.000723135351259632	0	0	0.000843998206531242	0	0	0.000179461440341901	0.000969078105389385	22.0950930071431	9	0.433126919529181	-1.03747640931914	230	1	1	1	1	1	1
TCGA.55.7994.01A	0.000322380090528307	0	0.000928023239772139	0.00182596370667385	0	0.000945659936826028	0.000411719884920485	6.05096713876192e-05	0	0	0.00109709193330195	28.4284627356909	11	1.60845972710682	-1.02837767372268	1990	1	1	1	1	1	1
TCGA.55.7995.01A	0.000609623419766009	0	0	0.00372160247587159	0	0.000501612404103735	0	0.000516324113880416	0	0	0.0010205317683078	28.8405645098413	7	1.45044695592681	-0.949401032938348	857	1	1	1	1	1	1
TCGA.55.8205.01A	0.00023067704796994	0	0.00269255118456771	0.00263079967553006	0	0.0015650112042247	0	0	0	0.000190479624431755	0.00433560216079584	29.1318930829081	11	1.68459111333559	-0.89078808810606	757	1	1	1	1	1	1
TCGA.55.8301.01A	0	0.000813554909091228	0.00340446376153843	0.00202720583156468	0	5.30449080178483e-05	0.000803313080265513	0.000795566216744787	0	0	0.00680317408151682	29.2798957335866	5	1.43091345874836	-0.858895291043298	380	1	1	1	1	1	1
TCGA.55.8505.01A	0	0	0.00160782151859361	0	0	0	0.000175225678770273	0	0	0	0.000126749795297988	14.3934558415062	7	-1.13416917125761	-0.802224345452871	221	1	1	1	1	1	1
TCGA.55.8508.01A	0	0	0.0068497310419898	0.000163190098311113	0	0	8.75243337792117e-05	0.000445403237404973	0	0.000122138579302527	4.52699931776288e-05	18.7840182308923	8	-0.642065553697668	-0.773756212126692	244	1	1	1	1	1	1
TCGA.55.8615.01A	0	3.51134808791637e-05	4.05795957931849e-05	0	0	0	0.000188516677370219	0.000122959537956199	0	0	0	10.7401636439113	9	-1.60945325516855	-0.669621959040772	181	1	1	1	1	1	1
TCGA.55.A48X.01A	0.00122453393774785	0.00307313649276706	0.00064858407475999	0.000775640455051942	0	0	0.000404656072762073	0.000897904383030997	0	0	0.000163908431407433	23.7957111789474	8	0.327528132551067	-0.660258356701636	521	1	1	1	1	1	1
TCGA.55.A48Y.01A	0	0	0.00128696578347576	0.00026163546771805	0	8.92454038453562e-05	6.83595674458059e-06	0.000360623724754367	0	0	0.000386975976260821	18.6505934839169	7	-0.44090853032802	-0.637661428881823	516	1	1	1	1	1	1
TCGA.55.A48Z.01A	0	0	0.000634073569654666	0.000411349617187809	0	1.87785164861926e-05	7.42855159612891e-05	0.000835784659611984	0	0	0.000329440772279657	24.4178068200882	7	0.609704834477071	-0.606335516901865	73	1	1	1	1	1	1
TCGA.55.A490.01A	0	0	0.000393192885808736	2.10226373117494e-05	0	0	0.000453073797223237	0.000392455523556818	0	0	0.000171817077382153	13.6650312749585	8	-0.91873034389949	-0.599434629493902	1773	1	1	1	1	1	1
TCGA.62.8394.01A	0.000205816465765127	0	0	4.0655626322537e-05	0	0	1.89960238423592e-05	0.000689004287960381	0	0	0.000500332085254511	20.8361738382034	10	-0.195041054314783	-0.565312382865267	174	1	1	1	1	1	1
TCGA.62.8398.01A	7.32304960408501e-05	0	0.000655479276157052	0.000199129790037809	0	0.000535958239834971	0.000219910663947781	0	0	0.000103572948552539	0.000610972509716175	21.2263820658763	7	0.1882073121439	-0.535025653829342	112	1	1	1	1	1	1
TCGA.62.A46U.01A	0.000255832455806499	1.28616065412182e-05	0	0.00137483559316722	0	0.000290087616698693	0.00101262910873432	0.00209310668235974	0	0.000262433410517178	0.00523355585875747	29.2930640074978	4	1.39012490002974	-0.375000548390143	65	1	1	1	1	1	1
TCGA.62.A46Y.01A	0.000324305649325745	0	3.22885731867943e-05	0.000909278935005043	0	0	0.000519653462476531	0.000212188885457761	0	9.99658127902903e-05	0.000592276283724786	21.8887337911166	9	0.437509375934425	-0.308613798851594	47	1	1	1	1	1	1
TCGA.62.A471.01A	0	2.09282379288272e-06	0.000598931800662072	0.000103133609311204	0	0.000392612401353879	0.000208685246646238	3.5001950451967e-06	0	0	7.06935894042238e-05	17.2344672022647	9	0.0113987129571859	-0.305947006848395	161	1	1	1	1	1	1
TCGA.64.1679.01A	0	0	0.000374041524957557	0	0	0	0	0.000410002844166345	0	0	0.00035211431418207	17.7634704854118	8	0.0880109264394532	-0.197207580187336	647	1	1	1	1	1	1
TCGA.64.5775.01A	1.36735366761612e-05	0	0.000112696567826041	0	0	0.000118393391430967	0	0	0	0	0.000164343220198401	14.1915013827719	8	-0.827470646993606	-0.182263113840751	649	1	1	1	1	1	1
TCGA.64.5781.01A	0	0	0.000537292624703183	0.00220781948632456	0	0.00215600582675064	0.000244883089169364	0	9.99391844098157e-05	0	0.000752880074975988	23.2067733756003	9	0.793542608054112	-0.163865363733599	1447	1	1	1	1	1	1
TCGA.64.5815.01A	0.000143036271095081	6.48773863250155e-05	0.00250326391366568	0	0	0	6.61799499851659e-05	0.000431272517285628	0	7.97906393188266e-05	4.94604625778775e-05	19.2613641281314	10	-0.0628903237913296	-0.154857845043697	229	1	1	1	1	1	1
TCGA.67.6215.01A	0	0.000121983038079634	1.35378393006504e-07	0	0	0	0	0.000119655635886647	0	0	0.000110501725727641	14.1159355246107	7	-1.00585337482123	-0.0946472974620465	134	1	1	1	1	1	1
TCGA.69.7760.01A	0	0	1.0152935827647e-05	0	0	0	4.95464810050151e-05	0	0	0	0	10.0527444117234	5	-1.51955782136249	-0.000270609946002819	95	1	1	1	1	1	1
TCGA.69.7765.01A	0	1.20529602605637e-05	0.000586914471592759	0.000825171448158774	0	0.000129341194567335	0.000178873963244965	0.000132739120663035	0	2.4387404735668e-05	0.000424116832333454	21.407268366524	11	0.197203586082775	0.0398253995110912	775	1	1	1	1	1	1
TCGA.69.7973.01A	0.00039505339081129	0	0.000388522140201944	0.0003632749925991	0	0.000384118292829239	0	2.10205682093677e-05	0	1.24632678186794e-05	0.000104993609748275	17.3915291461578	11	-0.135085684753629	0.0758450442872039	344	1	1	1	1	1	1
TCGA.69.7974.01A	0.00012869711895345	0	0.000157221823399479	0.000418903735118083	0	0	0.000481160528219654	0	0	0.000360858531683354	0.000553624255578851	24.8813676853137	8	1.02626314422672	0.0799189754240512	658	1	1	1	1	1	1
TCGA.69.8253.01A	0	0.000344810523131557	0	4.67031867783109e-05	0	0	0.000103674301093973	0	0	0	0	15.1310164699757	11	-1.17889183276352	0.110741121577288	211	1	1	1	1	1	1
TCGA.69.8453.01A	0.000352359260038173	7.32272079119993e-05	0	0.00081926390176972	0	0	0.000139761465113683	0.000147574149566183	0	0	0.000975978962121878	24.0535339135524	9	0.248580799724507	0.122620218772311	NA	1	1	1	1	1	1
TCGA.69.A59K.01A	0	0	0.00510741109424152	0.000686072725568981	0	0.000402260693150509	0.000136993622344494	1.38937190082333e-05	0	3.39526335205413e-05	0.000378127472855593	23.5921594951714	9	0.739861819301048	0.128599653524821	653	1	1	1	1	1	1
TCGA.71.6725.01A	0	7.48350869167878e-06	4.0150266580471e-05	0	0	0	0	0	0	0	1.17192003694526e-05	8.71215386351859	8	-1.43480619120136	0.256001700716414	79	1	1	1	1	1	1
TCGA.73.4668.01A	0	0	0.00291469084156418	3.32351527655298e-05	0	0	0.000168495279840598	0	0	6.96729920330595e-06	0.000129712419029121	15.6060724566865	10	-0.579852454755841	0.298713734204808	751	1	1	1	1	1	1
TCGA.73.4675.01A	0	8.70583992341249e-05	5.58711579627712e-05	0	0	0	0.000117833084658515	0.000233255185997404	0	0	0	13.7114119229027	8	-1.23536924993348	0.305349088046866	91	1	1	1	1	1	1
TCGA.73.A9RS.01A	0	0	0.000897833366757834	0.000117727936005738	0	0	0.000366143738218157	0	0	1.18284509620269e-07	0.000290529034831817	17.8149921005063	9	0.168192834130196	0.331466843806275	1241	1	1	1	1	1	1
TCGA.75.6212.01A	0.000925875863089211	0	0.0020641639806612	0	0	0	0	0.000290135272962792	0	5.47031933739285e-05	5.54013541892596e-05	17.6188138756222	12	-0.819373994812052	0.339145634317619	27	1	1	1	1	1	1
TCGA.78.7150.01A	0	0	0.000228259588108014	1.43699289522624e-05	0	3.85913190506943e-05	0.00024559704574701	0	0	0	0.000105601610584926	16.290989124682	7	-0.243252027681332	0.434257310807754	533	1	1	1	1	1	1
TCGA.78.7155.01A	0	0	2.05814848137342e-05	0.000353699809633696	0	0.000179053439960423	2.1795153183457e-05	0	0	0	0.000102716674397986	16.8224154964681	10	-0.321091824504494	0.497527262676092	1963	1	1	1	1	1	1
TCGA.78.7158.01A	0	9.4198005699579e-05	0	0	0	0	0	9.74916816005588e-05	0	0	0.000132813540775658	12.4769736645025	7	-1.24966808514163	0.519215318426679	312	1	1	1	1	1	1
TCGA.78.7161.01A	0	0	0.00112312118691577	0	0	0	0	8.41617074067638e-05	0	0.000160919260350642	6.22768410712821e-05	12.9260698682794	7	-0.896408684894358	0.532387788036615	239	1	1	1	1	1	1
TCGA.78.7539.01A	0.000199400801803274	0	0.00105171155205282	0.00147635229089743	0	0	0.000725995765905906	0.000379586759610029	0	0	0.000985259462652307	24.9625374535829	7	0.819010940344067	0.543596248311638	622	1	1	1	1	1	1
TCGA.86.7711.01A	0	8.47973579411885e-06	0	1.45790087742524e-05	0	0.000265356569324756	0	0.000152195137544962	0	0	0.000320711318203086	19.9358731993421	8	-0.067960672638769	0.555020303134426	297	1	1	1	1	1	1
TCGA.86.7954.01A	0.00054047313671341	0	0	0.00109997461101903	0	0.000181763118985632	0.000372632779963195	0.00131577314947235	0	0	0.00306484046617962	27.5387621937245	5	1.25108242214151	0.592167521026918	274	1	1	1	1	1	1
TCGA.86.8280.01A	0.000290449188296693	0	0.00478722507781102	0.000704560701362166	0	0	0.000954291084904264	0.000394514523977869	0	2.08051970502901e-05	0.00197165728386689	24.6556195657524	10	0.42918144061519	0.636630852511462	56	1	1	1	1	1	1
TCGA.86.8669.01A	0.00015632861309604	0	0.00323176434492422	0.000653937507713338	0	0	0.000180427438484067	0.000329970665234031	0	0	0.000465122928939621	20.2081467936032	6	-0.214992348707734	0.639900172415403	268	1	1	1	1	1	1
TCGA.86.8671.01A	0.00145180065570511	0.00297754406472407	0.00261524508835455	0.00451370391579765	0.000156028347017107	9.10210201349276e-05	0.00084743472476974	0.00300286695333418	0	0	0.00487646913432932	30.9603882188905	8	1.33386396204128	0.67341880071025	39	1	1	1	1	1	1
TCGA.86.A4P8.01A	0.000762823042628298	0	0	0.00177467883800358	0	0	6.08465488540372e-05	0	0	0.000604913156224577	0.00082885393879685	25.259060296227	10	0.464997217891924	0.72421710806923	1	1	1	1	1	1	1
TCGA.91.6848.01A	0	0	0.00173972707527728	0.00093696737640457	0	0.001276363959919	0	0	0	0	0.00157066186041764	25.9851712284832	12	1.07749731521439	0.766194565908233	761	1	1	1	1	1	1
TCGA.91.7771.01A	0.000439703753841348	0	0.00271871314236256	0.000980710651883872	0	0	0.000128685204001368	0	0	0	0.00115723479660082	23.9890501622793	8	0.25522869421019	0.806527916101282	259	1	1	1	1	1	1
TCGA.93.A4JP.01A	0.000311545075005104	0	6.68966585723763e-05	0	0	0	0.000428227999486039	0	0	0	0.000548570686143114	22.5279208186855	10	-0.131734722453318	0.863026130220581	83	1	1	1	1	1	1
TCGA.95.7562.01A	0	0	0.00155473516261047	0.000364627690055679	0	0.000160244901389665	0	0.000352597485245683	0	0	0.000682811604928101	21.2423576322295	7	0.20389000267432	0.920873289767665	523	1	1	1	1	1	1
TCGA.95.7567.01A	0	0	0.00188381609559264	0.000282461207599426	0	0.000432486766124068	7.17060287532024e-05	0.000694281838202528	0	0	0.000289857894424888	21.0311033228015	9	0.558244029688358	0.9433550065308	1242	1	1	1	1	1	1
TCGA.95.A4VK.01A	0	0.00174934179588326	0.00112483707184801	0.000538430792344946	0	0	0.000585062500128367	0.000397675873014339	0	0	0.00031735492426396	20.1604050008898	9	0.208874124678294	0.984169811283994	342	1	1	1	1	1	1
TCGA.95.A4VP.01A	0.000435480228428386	0	0.000971309925411321	0.000507453917661814	0	0.000374193157773853	0.000404103745631727	0.000209703334790209	0	8.52182708524755e-05	0.00023393661174436	20.2237240351185	7	0.0556773813530655	1.25618888019939	171	1	1	1	1	1	1
TCGA.97.7554.01A	0	0	0.001729887214249	0.000214449813966971	0	0	9.53762282934887e-05	0.000397759498798894	0	0	0.000620635487548626	22.1029130725259	10	0.323572809628038	1.68072431934761	576	1	1	1	1	1	1
TCGA.97.8176.01A	0.000211261545030318	0	0.000365757316460093	5.14475030568975e-05	0	0	0.000377442016567426	0	0	0	7.2622533437702e-05	15.8378393365283	8	-0.937784529710072	1.70010861990284	203	1	1	1	1	1	1
TCGA.99.8033.01A	0	0	0.00018919412054893	0.000320267019047876	0	0.00287954638983904	1.3573129692665e-05	0	0	0	0.000831743441785525	25.3193274425812	8	1.19172392827078	1.85936641273828	227	1	1	1	1	1	1
TCGA.J2.8192.01A	0.00105111930663167	0	0.000497641833770732	0	0	0	0	0	0	0	0.000399648484699438	22.9565595748073	7	0.314229985983867	1.92071276810704	85	1	1	1	1	1	1
TCGA.J2.8194.01A	0	0	0.000173179987042289	0	0	0	0	0	0	0	0.000351075994190462	15.9177312295856	5	-0.718021637778668	1.98837988102272	198	1	1	1	1	1	1
TCGA.L9.A7SV.01A	8.26110539097324e-05	0	0.000131115039079743	0.000134978364703464	0	0	0.000228993646131845	0	3.57248945382211e-05	1.69018614699822e-05	0.00024076099619955	15.0445235987456	11	-0.727185812589073	2.0528512709517	2105	1	1	1	1	1	1
TCGA.MP.A4TC.01A	0	0	0.000244395225173996	0.000319781870282055	0	0.000214686715470699	0.000733605463520898	0	0	8.01399726058812e-06	0.00075369779117722	24.7123294234466	6	1.05651732978758	2.13129863053112	353	1	1	1	1	1	1
TCGA.MP.A4TD.01A	0	0.00120677844825162	0.000739503286737286	0.000109059110320883	0	0	0	0.000635894049924755	0	0	0	18.0249316160654	7	-0.772148163944792	2.87941238854073	103	1	1	1	1	1	1
TCGA.NJ.A7XG.01A	0.000150517172437598	0	0.000120251218208874	0	0	0	0	8.44222770763923e-05	0	0	2.00677224002141e-05	11.7052384694977	10	-1.42408003852532	4.02530572337117	46	1	1	1	1	1	1
TCGA.18.3417.01A	0	0	0.000609936035885862	0.000231706734169502	0	0.000175344173180273	5.28130637245077e-05	5.49876812792423e-05	0	0	3.5421917541494e-05	16.0548480299453	8	-0.470622099035429	-4.14053578665983	381	1	1	1	1	1	1
TCGA.18.4083.01A	0	0	0.00170298549563944	0.000488804471950794	0	0.000382545797530614	0	9.44684284505972e-05	0	8.89736426397485e-05	0.000286061244912068	22.7412495949399	5	0.831006521982443	-3.8971493714933	489	1	1	1	1	1	1
TCGA.22.5473.01A	0	0	0.000971477315086424	0.000206963119707949	0	0.000282824434208656	0	0	0	0	0.000345916285955881	17.7690498894919	8	-0.338596571564141	-3.74198261105989	1069	1	1	1	1	1	1
TCGA.34.5240.01A	0	0	0.000267019752507442	0.000169152200018159	0	0	9.25822214004506e-05	0	5.059223896092e-05	0	0.000183222060506947	15.692778100741	8	-0.43204941397559	-3.63591295321022	231	1	1	1	1	1	1
TCGA.34.5927.01A	0	0	0.000274216390241685	0	0	0.000229183683146891	0.000166748531822489	0	0	0	0.000123110372957238	15.7635789280452	7	-0.30797879328948	-3.57950598976786	347	1	1	1	1	1	1
TCGA.34.8454.01A	0.000428256012960409	0	0.00432314420722391	0.000373996180692071	0	0.00163553533622693	0.001582035905718	0	0	0.000840804400587768	0.0021566894352629	25.8142878838973	10	0.801662799485885	-3.36900016284049	748	1	1	1	1	1	1
